user_id,username,full_name,department,role,location,hostname,device_id,status,hire_date,termination_date,manager_username,failed_login_count,successful_login_count,mfa_failure_count,average_iam_risk,maximum_iam_risk,total_iam_events,total_firewall_events,firewall_deny_count,firewall_threat_count,total_bytes_sent,total_bytes_received,total_endpoint_alerts,critical_endpoint_alerts,high_endpoint_alerts,invalid_resolution_alerts,hostname_endpoint_alerts,authentication_risk,network_risk,endpoint_risk,iam_risk_contribution,zero_trust_risk_score,risk_level,zero_trust_action,insider_threat_indicator,signal_failed_login,signal_mfa_failure,signal_high_iam_risk,signal_firewall_deny,signal_firewall_threat,signal_endpoint_alert,signal_critical_endpoint,signal_high_endpoint,signal_extreme_iam_risk,insider_threat_score,insider_risk_level,recommended_action,security_signal_count,threat_confidence,threat_classification,threat_explanation,priority
EMP10194,ayush.dua87,Ayush Dua,Research and Development,Analyst,BRANCH OFFICE,LPT-10194,DEV-40932,Active,2023-02-12 03:25:50,not available,manager680,21.0,33.0,22.0,46.30508474576271,100.0,59.0,12.0,5.0,0.0,135504513.0,164391619.0,4.0,0.0,0.0,0.0,3.0,259.0,15.0,8.0,23.15254237288136,100.0,CRITICAL,BLOCK,1,1,1,0,1,0,1,0,0,1,100.0,CRITICAL,BLOCK,5,HIGH,LIKELY INSIDER THREAT,21 failed login attempts + 22 MFA failures + 5 firewall DENY events + 4 endpoint alerts + maximum IAM risk 100/100,1
EMP12030,urishilla.dugar5,Urishilla Dugar,Customer Support,Consultant,Regional_Office,VDR-12030,DEV 10085,Active,1627829463,,manager911,6.0,7.0,4.0,62.0,100.0,15.0,6.0,3.0,0.0,67607748.0,108287028.0,5.0,2.0,1.0,1.0,3.0,58.0,9.0,48.0,31.0,100.0,CRITICAL,BLOCK,1,1,1,0,0,0,1,1,1,1,100.0,CRITICAL,BLOCK,6,VERY HIGH,LIKELY INSIDER THREAT,6 failed login attempts + 4 MFA failures + 5 endpoint alerts + 1 high-severity endpoint alerts + 2 critical endpoint alerts + maximum IAM risk 100/100,1
EMP12603,gautam.dass68,Gautam Dass,Finance,Trainee,BRANCH OFFICE,LPT-12603,DEV 97646,Active,2022-08-10T22:55:29,,  manager793  ,17.0,37.0,18.0,51.41666666666666,100.0,60.0,10.0,2.0,1.0,167845736.0,181856473.0,4.0,0.0,0.0,0.0,4.0,211.0,16.0,8.0,25.70833333333333,100.0,CRITICAL,BLOCK,1,1,1,0,0,1,1,0,0,1,100.0,CRITICAL,BLOCK,5,HIGH,LIKELY INSIDER THREAT,17 failed login attempts + 18 MFA failures + 1 firewall threat events + 4 endpoint alerts + maximum IAM risk 100/100,1
EMP10746,oviya.acharya25,Oviya Acharya,Human Resources,Executive,,WS-10746,,A,13/09/2025 01:27,,unknown,26.0,39.0,31.0,43.68571428571428,100.0,70.0,4.0,0.0,0.0,45364536.0,82443657.0,4.0,1.0,0.0,0.0,3.0,347.0,0.0,23.0,21.84285714285714,100.0,CRITICAL,BLOCK,1,1,1,0,0,0,1,1,0,1,100.0,CRITICAL,BLOCK,5,HIGH,LIKELY INSIDER THREAT,26 failed login attempts + 31 MFA failures + 4 endpoint alerts + 1 critical endpoint alerts + maximum IAM risk 100/100,1
EMP11090,pahal.bajwa31,Pahal Bajwa,Legal,Trainee,Remote,VDR-11090,,On Leave,07-21-2025 04:04:10 AM,,  manager894  ,19.0,41.0,21.0,47.28787878787879,100.0,66.0,8.0,2.0,2.0,117590060.0,128868180.0,3.0,0.0,0.0,0.0,3.0,242.0,26.0,6.0,23.643939393939394,100.0,CRITICAL,BLOCK,1,1,1,0,0,1,1,0,0,1,100.0,CRITICAL,BLOCK,5,HIGH,LIKELY INSIDER THREAT,19 failed login attempts + 21 MFA failures + 2 firewall threat events + 3 endpoint alerts + maximum IAM risk 100/100,1
EMP10052,anirudh.ramanathan31,Anirudh Ramanathan,Marketing,Engineer,,LPT-10052,DEV 29313,A,1643561219,not available,unknown,19.0,41.0,31.0,48.16417910447761,100.0,67.0,3.0,0.0,1.0,36.0,11658140.0,4.0,0.0,1.0,0.0,4.0,312.0,10.0,16.0,24.08208955223881,100.0,CRITICAL,BLOCK,1,1,1,0,0,1,1,0,1,1,100.0,CRITICAL,BLOCK,6,VERY HIGH,LIKELY INSIDER THREAT,19 failed login attempts + 31 MFA failures + 1 firewall threat events + 4 endpoint alerts + 1 high-severity endpoint alerts + maximum IAM risk 100/100,1
EMP10044,gopal.lala36,Gopal Lala,Human Resources,Administrator,,VDR-10044,DEV 76768,Active,2024-07-23 23:08:34,,manager128,17.0,41.0,30.0,57.06060606060606,100.0,66.0,15.0,6.0,0.0,209169646.0,298300343.0,4.0,0.0,1.0,1.0,4.0,295.0,18.0,16.0,28.53030303030303,100.0,CRITICAL,BLOCK,1,1,1,0,1,0,1,0,1,1,100.0,CRITICAL,BLOCK,6,VERY HIGH,LIKELY INSIDER THREAT,17 failed login attempts + 30 MFA failures + 6 firewall DENY events + 4 endpoint alerts + 1 high-severity endpoint alerts + maximum IAM risk 100/100,1
EMP10298,aradhana.yogi41,Aradhana Yogi,Mkt,Trainee,warehouse,LPT-10298,,Active,05-May-2023 19:22:01,,  manager677  ,26.0,33.0,27.0,46.95588235294117,100.0,68.0,11.0,2.0,1.0,193691663.0,111181718.0,1.0,0.0,1.0,0.0,1.0,319.0,16.0,10.0,23.477941176470587,100.0,CRITICAL,BLOCK,1,1,1,0,0,1,1,0,1,1,100.0,CRITICAL,BLOCK,6,VERY HIGH,LIKELY INSIDER THREAT,26 failed login attempts + 27 MFA failures + 1 firewall threat events + 1 endpoint alerts + 1 high-severity endpoint alerts + maximum IAM risk 100/100,1
EMP10014,ridhi.saini2,Ridhi Saini,Human Resources,Officer,work from home,WS-10014,DEV94012,Active,2022/06/30,not available,  manager564  ,23.0,47.0,19.0,47.776315789473685,100.0,76.0,13.0,2.0,2.0,95522862.0,173426605.0,4.0,0.0,1.0,0.0,4.0,248.0,26.0,16.0,23.88815789473684,100.0,CRITICAL,BLOCK,1,1,1,0,0,1,1,0,1,1,100.0,CRITICAL,BLOCK,6,VERY HIGH,LIKELY INSIDER THREAT,23 failed login attempts + 19 MFA failures + 2 firewall threat events + 4 endpoint alerts + 1 high-severity endpoint alerts + maximum IAM risk 100/100,1
EMP11600,gagan.mitter67,Gagan Mitter,Procurement,Director,Regional_Office,VDR-11600,DEV 60738,Active,04/01/2026 18:47,,,19.0,41.0,25.0,46.45588235294117,100.0,68.0,11.0,2.0,2.0,201582455.0,144126313.0,2.0,1.0,0.0,1.0,2.0,270.0,26.0,19.0,23.227941176470587,100.0,CRITICAL,BLOCK,1,1,1,0,0,1,1,1,0,1,100.0,CRITICAL,BLOCK,6,VERY HIGH,LIKELY INSIDER THREAT,19 failed login attempts + 25 MFA failures + 2 firewall threat events + 2 endpoint alerts + 1 critical endpoint alerts + maximum IAM risk 100/100,1
